team,weight,height,experience,salary,age,points3,points2,free_throws,points,points3_perc,points2_perc,points1_perc,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
ATL,219.93,79.14,93,90.89,398,626,2254,1373,7759,0.30014285714285716,0.481,0.746,807,2537,1784,601,354,1136,1329,140.32690455395513
BOS,219.87,78.2,63,91.92,379,985,2183,1536,8857,0.35113333333333335,0.5212,0.7155333333333334,744,2698,2069,617,341,1037,1686,148.2524702723612
BRK,222.4,78.67,52,65.45,382,738,1950,1381,7495,0.3214,0.5052,0.7883333333333333,608,2546,1593,547,372,1152,1522,147.78234277005438
CHI,215.6,78.53,58,92.08,387,565,2162,1330,7349,0.28873333333333334,0.4552,0.7342666666666666,865,2416,1746,605,339,952,1275,139.1024968365286
CHO,212.8,78.8,66,100.25,388,808,2102,1499,8127,0.2642,0.4961333333333333,0.7666666666666667,634,2636,1805,550,320,827,1198,145.2993820869104
CLE,226.4,78.87,128,125.79,444,1012,2107,1355,8605,0.3121333333333333,0.5234,0.705,727,2639,1760,475,299,1005,1318,177.85851381041783
DAL,215.67,79.13,62,92.1,404,754,1803,1042,6910,0.3102666666666667,0.49746666666666667,0.7590666666666667,534,2109,1291,538,266,703,1280,148.22430214515933
DEN,220.27,79.4,74,78.38,387,868,2347,1471,8769,0.29746666666666666,0.5074000000000001,0.7392666666666666,867,2646,2009,538,285,1097,1458,167.35948060634087
DET,228,79.53,55,103.07,382,631,2638,1140,8309,0.2533333333333333,0.46026666666666666,0.7678666666666667,908,2838,1731,574,310,932,1467,136.37624224785537
GSW,223.53,79.87,101,98.69,416,982,2540,1447,9473,0.27353333333333335,0.5540666666666667,0.7081999999999999,759,2854,2475,779,551,1171,1565,172.39163891909195
HOU,214.86,78.29,56,84.66,359,1141,1769,1508,8469,0.2656428571428571,0.4782142857142857,0.7496428571428572,766,2429,1906,564,292,1046,1314,155.10314586870086
IND,226.07,78.5,84,84.57,378,641,2331,1333,7918,0.2507857142857143,0.46635714285714286,0.7677857142857143,679,2436,1713,612,391,996,1490,135.06971617160218
LAC,225.07,78.8,124,114.78,443,841,2401,1586,8911,0.2823333333333333,0.4832666666666667,0.7299333333333333,740,2790,1848,613,349,1024,1626,147.12418871785297
LAL,224.33,80,66,86.27,383,592,2249,1080,7354,0.25133333333333335,0.49293333333333333,0.7207333333333333,909,2462,1430,593,307,1028,1593,143.97677477822208
MEM,221.73,79.27,83,108.34,411,750,2140,1465,7995,0.2666,0.464,0.7521333333333333,866,2534,1669,612,329,973,1748,140.97073285110503
MIA,219.29,79,63,72.78,374,799,2349,1217,8312,0.29914285714285715,0.46914285714285714,0.7057857142857142,857,2649,1728,577,464,1019,1647,151.99017964490716
MIL,224.14,80.36,64,90.27,360,718,2424,1388,8390,0.31992857142857145,0.5030714285714286,0.7525,700,2541,1953,651,422,1064,1601,153.25882055538148
MIN,221.57,79.71,48,59.38,351,601,2623,1585,8634,0.2764285714285714,0.4860714285714286,0.7705714285714286,938,2530,1934,652,370,1095,1644,144.8383278764674
NOP,218.93,79.5,55,90.63,361,513,1952,1120,6563,0.2792142857142857,0.524,0.6564285714285715,580,2244,1523,497,380,823,1164,164.2521489925603
NYK,218.33,80,59,97.01,399,636,2445,1262,8060,0.2584,0.4752,0.7478666666666667,961,2591,1499,526,451,975,1584,143.90333025040684
OKC,219.2,79.27,55,86.98,386,611,2380,1511,8104,0.3088,0.5095333333333333,0.6502666666666667,936,2628,1610,595,394,1133,1561,146.86802910015845
ORL,216.2,78.93,57,102.41,378,614,2168,1230,7408,0.2676,0.41013333333333335,0.666,699,2435,1744,544,302,978,1432,125.14061717044824
PHI,225,79.33,34,55.78,371,690,1917,1212,7116,0.3112,0.49293333333333333,0.7699333333333334,673,2282,1788,599,369,1184,1516,164.09158244312238
PHO,213.8,78.53,68,72.53,381,564,2551,1605,8399,0.23906666666666668,0.46573333333333333,0.7106666666666667,882,2456,1530,587,385,1171,1886,144.30651938242653
POR,217.93,79.43,43,103.03,339,852,2156,1386,8254,0.3142857142857143,0.48035714285714287,0.7082142857142857,710,2437,1519,524,345,988,1587,143.73205157796548
SAC,216.6,78.47,68,88.19,388,558,1838,998,6348,0.30906666666666666,0.4922,0.7835333333333333,524,1878,1394,503,234,847,1302,148.39536657734533
SAS,217.33,79.13,99,104.69,433,743,2459,1431,8578,0.30846666666666667,0.49593333333333334,0.7684,821,2768,1926,650,485,1038,1479,146.62364621805375
TOR,222.6,79.07,57,108.46,378,626,2359,1570,8166,0.3204666666666667,0.49233333333333335,0.7035333333333333,848,2533,1469,621,379,933,1609,158.76579846156505
UTA,222.13,79.47,71,80.32,393,791,2242,1401,8258,0.29313333333333336,0.5092666666666666,0.7403333333333333,771,2774,1651,550,410,1061,1545,145.81934827477448
WAS,215.14,79.5,56,98.78,362,671,2417,1316,8163,0.25164285714285717,0.4667142857142857,0.6892857142857143,748,2393,1861,605,314,1017,1465,143.01169208719813
